Date,Inspected,Negative,Confirmed,Recovered,Deaths
2020-02-06,1352,1001,24,2,0
2020-02-07,2097,1134,24,2,0
2020-02-08,2598,1683,27,3,0
2020-02-09,3110,2552,27,3,0
2020-02-10,4325,3535,28,4,0
2020-02-11,5624,4811,28,7,0
2020-02-12,6511,5921,28,7,0
2020-02-13,7242,6679,28,7,0
2020-02-14,7734,7148,28,9,0
2020-02-15,8161,7647,29,9,0
2020-02-16,8718,7980,30,10,0
2020-02-17,9772,8923,31,12,0
2020-02-18,11173,9973,51,16,0
2020-02-19,13202,11238,104,16,1
2020-02-20,16400,13016,204,17,1
2020-02-21,21586,15116,433,18,2
2020-02-22,26179,17520,602,18,5
2020-02-23,32756,20292,833,22,7
2020-02-24,40304,25447,977,22,10
2020-02-25,53553,31576,1261,24,12
2020-02-26,66652,39318,1766,26,13
2020-02-27,81167,48593,2337,27,13
2020-02-28,94055,55723,3150,28,17
2020-02-29,98921,61825,3736,30,18
2020-03-01,109591,71580,4212,31,22
2020-03-02,125851,85484,4812,34,28
2020-03-03,136707,102965,5328,41,32
2020-03-04,146541,118965,5766,88,35
2020-03-05,164740,136624,6284,108,42
2020-03-06,178189,151802,6767,118,44
2020-03-07,188518,162008,7134,130,50
2020-03-08,196618,171778,7382,166,51
2020-03-09,210144,184179,7513,247,54
2020-03-10,222395,196100,7755,288,60
2020-03-11,234998,209402,7869,333,66
2020-03-12,248647,222728,7979,510,67
2020-03-13,261335,235615,8086,714,72
2020-03-14,268212,243778,8162,834,75
2020-03-15,274504,251297,8236,1137,75
2020-03-16,286716,261105,8320,1401,81
2020-03-17,295647,270888,8413,1540,84
2020-03-18,307024,282555,8565,1947,91
2020-03-19,316664,292487,8652,2233,94
2020-03-20,327509,303006,8799,2612,102
2020-03-21,331780,308343,8897,2909,104
2020-03-22,338036,315447,8961,3166,111
2020-03-23,348582,324105,9037,3507,120
2020-03-24,357896,334481,9137,3730,126
2020-03-25,364942,341332,9241,4144,131
2020-03-26,376961,352410,9332,4528,139
2020-03-27,387925,361883,9478,4811,144
2020-03-28,394141,369530,9583,5033,152
2020-03-29,395194,372002,9661,5228,158
2020-03-30,410564,383886,9786,5408,162
2020-03-31,421547,395075,9887,5567,165
2020-04-01,431743,403882,9976,5828,169
2020-04-02,443273,414303,10062,6021,174
2020-04-03,455032,424732,10156,6325,177
2020-04-04,461233,431425,10237,6463,183
2020-04-05,466804,437225,10284,6598,186
2020-04-06,477304,446323,10331,6694,192
2020-04-07,486003,457761,10384,6776,200
2020-04-08,494711,468779,10423,6973,204
2020-04-09,503051,477303,10450,7117,208
2020-04-10,510479,485929,10480,7243,211
2020-04-11,514621,490321,10512,7368,214
2020-04-12,518743,494815,10537,7447,217
2020-04-13,527438,502223,10564,7534,222
2020-04-14,534552,508935,10591,7616,225
2020-04-15,538775,513894,10613,7757,229
2020-04-16,546463,521642,10635,7829,230
2020-04-17,554834,530631,10653,7937,232
2020-04-18,559109,536205,10661,8042,234
2020-04-19,563035,540380,10674,8114,236
2020-04-20,571014,547610,10683,8213,237
2020-04-21,577959,555144,10694,8277,238
2020-04-22,583971,563130,10702,8411,240
2020-04-23,589520,569212,10708,8501,240
2020-04-24,595161,575184,10718,8635,240
2020-04-25,598285,578558,10728,8717,242
2020-04-26,601660,582027,10738,8764,243
2020-04-27,608514,588559,10752,8854,244
2020-04-28,614197,595129,10761,8922,246
2020-04-29,619881,600482,10765,9059,247
2020-04-30,623069,603610,10774,9072,248
2020-05-01,627562,608286,10780,9123,250
2020-05-02,630973,611592,10793,9183,250
2020-05-03,633921,614944,10801,9217,252
2020-05-04,640237,620575,10804,9283,254
2020-05-05,643095,624280,10806,9333,255
2020-05-06,649388,630149,10810,9419,256
2020-05-07,654863,635174,10822,9484,256
2020-05-08,660030,640037,10840,9568,256
2020-05-09,663886,642884,10874,9610,256
2020-05-10,668492,646661,10909,9632,256
2020-05-11,680890,653624,10936,9670,258
2020-05-12,695920,665379,10962,9695,259
2020-05-13,711484,679771,10991,9762,260
2020-05-14,726747,695854,11018,9821,260
2020-05-15,740645,711265,11037,9851,262
2020-05-16,747653,718943,11050,9888,262
2020-05-17,753211,726053,11065,9904,263
2020-05-18,765574,737571,11078,9938,263
2020-05-19,776433,748972,11110,10066,263
2020-05-20,788684,759473,11122,10135,264
2020-05-21,802418,770990,11142,10162,264
2020-05-22,814420,781686,11165,10194,266
2020-05-23,820289,788766,11190,10213,266
2020-05-24,826437,796142,11206,10226,267
2020-05-25,839475,806206,11225,10275,269
2020-05-26,852876,820550,11265,10295,269
2020-05-27,868666,834952,11344,10340,269
2020-05-28,885120,849161,11402,10363,269
2020-05-29,902901,865162,11441,10398,269
2020-05-30,910822,876060,11468,10405,270
